sample_ID,raw_reads,trim-galore,bowtie2_align,paired_reads,unpaired_reads,marked_dups,htseq-count_features
2018--BBB-WBO-B21-CV,60015908,9142520,1987316,2020021,14421,9850,1240797
2018--BBB-WBV-B70-CV,47021020,7920020,1702318,1733903,12637,9107,1066412
2018--BBO-BBO-B16-CV,55592344,6907492,1504682,1527667,11081,4699,948276
2018--BBO-BBY-B27-CV,36591468,4437592,963810,978519,6871,3552,607039
2018--BBO-WBO-B16-CV,59769484,9603844,2076074,2109689,14556,10334,1295441
2018--BBO-WBV-B64-CV,49958272,8379816,1812804,1840935,13313,8994,1147073
2018--BBR-BBB-B50-CV,33469908,3961648,859402,874456,6878,2652,544461
2018--BBR-BBG-B38-CV,50157680,7082652,1538688,1562707,11822,5177,964354
2018--BBR-BBY-B26-CV,60953096,6692840,1451844,1476603,11046,4909,915185
2018--BBY-WBG-B42-CV,24111420,2258428,492580,501016,4711,1523,313160
2018--BPO-BPO-O16-CV,17002472,936764,202704,205884,2178,395,129275
2018--BPR-BPG-O38-CV,38746892,4390176,958966,970743,7173,3386,603169
2018--BPR-BPR-O02-CV,17385428,1068416,231214,235712,2447,616,147776
2018--BPY-BPG-O42-CV,13638764,573916,123478,125939,1464,243,78534
2018--BPY-BPY-O29-CV,18925108,1654584,358770,365572,3414,1033,225407
2018--WBB-WBV-W69-CV,41913360,8547732,1841576,1866682,14635,8793,1178160
2018--WBG-BBB-W56-CV,63528856,7540704,1631652,1660416,13827,7376,1030866
2018--WBG-WBG-W44-CV,16667292,1598204,346466,351751,3415,973,220302
2018--WBO-BBR-W03-CV,11006436,576356,122690,124954,1941,157,78905
2018--WBO-WBV-W64-CV,41768060,7113444,1528096,1554342,11155,7532,961855
2018--WBR-BBY-W25-CV,27798588,2281232,491730,501023,4560,1947,313813
2018--WBV-WBO-W23-CV,20244836,2744600,597972,605699,5243,2083,379288
2018--WBV-WBR-W12-CV,13378624,831908,180442,183009,1604,520,115017
2018--WBY-BBV-W65-CV,60407232,6785928,1464800,1488899,12069,6248,924605
2018--WBY-BBY-W30-CV,28348324,3922892,849148,862643,7540,3542,536458
2018--WPB-BPG-G45-CV,38780388,4035068,864162,876722,6833,2418,549278
2018--WPO-BPO-G16-CV,29381164,2541164,550898,560687,4805,1476,348551
2018--WPO-BPY-G28-CV,26339844,1346688,289212,292644,2711,1024,192694
2018--WPR-BPY-G25-CV,26950668,4116068,893860,910353,7902,3422,557422
2018--WPV-BPR-G11-CV,30676556,709656,152496,156427,1302,541,99660