"","padj"
"LOC111099115",0.000200418292920655
"LOC111099216",0.0125496496400134
"LOC111099417",0.00195670837366753
"LOC111099424",0.00107459456537442
"LOC111099722",0.00286998247507954
"LOC111099918",0.0407210025161639
"LOC111099923",0.00234886345616942
"LOC111100043",8.80897097334206e-08
"LOC111100092",7.68589056610069e-06
"LOC111100143",0.0406654309279149
"LOC111100148",0.00798598592578784
"LOC111100327",0.022385785823228
"LOC111100344",0.0378943230058729
"LOC111100574",0.0319565492886459
"LOC111100602",0.0125496496400134
"LOC111100714",0.000176432581269147
"LOC111100739",0.0252982132438936
"LOC111100869",0.0126623629309334
"LOC111100924",0.00290725409466874
"LOC111101050",2.05862217254926e-08
"LOC111101061",0.0402885488701387
"LOC111101069",0.0354476656579999
"LOC111101238",0.0353750872931079
"LOC111101287",0.00505935744761938
"LOC111101598",0.000287318712247908
"LOC111101943",6.51536631628155e-06
"LOC111102061",0.0260978042288934
"LOC111102202",0.0158735581805921
"LOC111102475",0.00984871959733804
"LOC111103017",0.022385785823228
"LOC111103305",2.08520396507209e-07
"LOC111103349",0.00679340337549177
"LOC111103375",8.08880329561609e-06
"LOC111103479",0.00275372981897826
"LOC111103484",0.000549156826930437
"LOC111103558",0.00693324467474995
"LOC111103799",0.00634104393181372
"LOC111103816",0.0100563957363308
"LOC111103819",4.72226440358555e-05
"LOC111103866",5.01188736977414e-05
"LOC111104284",0.0376361372835325
"LOC111104287",2.05862217254926e-08
"LOC111104354",0.0220532671535083
"LOC111104504",0.0402885488701387
"LOC111104805",0.0376378955056731
"LOC111105030",0.000148945819950601
"LOC111105082",2.24349296111927e-08
"LOC111105256",0.00087139697420799
"LOC111105299",5.37435309785937e-06
"LOC111105526",0.0198771348785507
"LOC111105528",2.08520396507209e-07
"LOC111105686",3.91927589109275e-05
"LOC111105828",5.37435309785937e-06
"LOC111106506",0.0403679308788899
"LOC111106570",0.000720229926455335
"LOC111106613",0.00116473314139177
"LOC111106619",0.0479339017784139
"LOC111106775",0.0265509473973079
"LOC111106800",2.75759459292061e-05
"LOC111106980",1.14814260429216e-06
"LOC111107171",0.00540052493696497
"LOC111107250",2.40501864327661e-06
"LOC111107422",1.66320152664992e-08
"LOC111107518",0.0358039537297723
"LOC111107569",0.0376805514733318
"LOC111107620",0.000209341618471003
"LOC111107816",0.00392772100423129
"LOC111107851",0.0432053458264975
"LOC111107999",6.94939330549705e-07
"LOC111108042",0.00227693884882986
"LOC111108080",0.0040945719968568
"LOC111108185",0.00226017158251156
"LOC111108202",0.000280919687037678
"LOC111108243",0.0427390169241108
"LOC111108303",0.0119356041580619
"LOC111108426",0.0376361372835325
"LOC111108451",0.0438093775986728
"LOC111108505",0.0102929023513944
"LOC111108664",0.0461517858882983
"LOC111108790",1.85097075098153e-06
"LOC111109289",0.0137217640650835
"LOC111109410",0.039699267379271
"LOC111109620",0.0139012396990825
"LOC111109740",1.8459007980832e-06
"LOC111109744",0.000625937589960961
"LOC111109804",1.7573393175614e-06
"LOC111109936",0.0402885488701387
"LOC111110057",0.00392772100423129
"LOC111110127",0.00954401887376587
"LOC111110168",0.00520430556372335
"LOC111110195",0.0432053458264975
"LOC111110475",0.0379969004501066
"LOC111110619",0.0032244906263271
"LOC111110660",0.0389046036994083
"LOC111111334",0.000676365615005792
"LOC111111528",0.000324113784407131
"LOC111111976",0.0376378955056731
"LOC111112387",0.00466431820625555
"LOC111112439",0.0354476656579999
"LOC111112487",0.0418915269723622
"LOC111112578",4.17117476786934e-06
"LOC111112580",0.0031316771250101
"LOC111112605",2.08520396507209e-07
"LOC111112636",0.0143619326486462
"LOC111112700",0.0015358082617288
"LOC111113036",1.14777914193273e-08
"LOC111113084",0.0371824061414867
"LOC111113198",0.0376361372835325
"LOC111113238",0.0272542518712632
"LOC111113309",0.00844220029596184
"LOC111113310",0.0437412173754041
"LOC111113388",0.00154247011335713
"LOC111114201",0.00858902051560809
"LOC111114450",0.0118670619150249
"LOC111114521",0.00354740128061267
"LOC111114820",8.23313643866227e-08
"LOC111115520",0.0475590607810808
"LOC111115675",3.51733994320364e-08
"LOC111115720",0.00869193018103109
"LOC111115784",4.22802219479182e-05
"LOC111115795",0.00275372981897826
"LOC111116869",2.1645791983664e-07
"LOC111116971",0.000720229926455335
"LOC111117060",0.00212991495400221
"LOC111117164",0.014496273060123
"LOC111117202",3.6313681086245e-07
"LOC111117391",0.000156103966714885
"LOC111117650",0.00823454740998385
"LOC111117657",0.00108634296589166
"LOC111117672",8.24505857783303e-05
"LOC111117739",0.0376361372835325
"LOC111117813",0.00195670837366753
"LOC111117970",1.57191755486086e-07
"LOC111118030",0.0270385654203203
"LOC111118071",0.00260732918968927
"LOC111118225",0.00102759976657947
"LOC111118260",1.14777914193273e-08
"LOC111118324",0.0418915269723622
"LOC111118425",0.00758105180747367
"LOC111118558",8.355785556609e-07
"LOC111118568",0.00322556937621855
"LOC111118652",0.00951719178075737
"LOC111118654",0.0379969004501066
"LOC111118809",3.61738081763669e-05
"LOC111118833",1.44585798386593e-05
"LOC111118904",0.00610461554048402
"LOC111118959",0.00505935744761938
"LOC111118960",0.00708685304863548
"LOC111118970",0.0128872602906547
"LOC111119012",0.00281087103699841
"LOC111119125",1.14777914193273e-08
"LOC111119126",0.0270385654203203
"LOC111119170",0.0119977322077189
"LOC111119175",0.000803672489153415
"LOC111119195",0.0114183984652234
"LOC111119203",0.0013619743299723
"LOC111119269",0.0334796507366966
"LOC111119366",0.00392772100423129
"LOC111119487",0.00659595401875705
"LOC111119493",1.11399198790567e-07
"LOC111119527",0.016453478418617
"LOC111119533",3.6313681086245e-07
"LOC111119559",2.60537653295437e-08
"LOC111119574",0.0356209119656924
"LOC111119596",0.0473011632986982
"LOC111119656",0.0438093775986728
"LOC111119699",0.0193973213190826
"LOC111119735",0.0022589002359138
"LOC111119752",0.000290301638282704
"LOC111119851",0.000826188328561445
"LOC111119852",0.00415503557691922
"LOC111119855",0.0466777352852541
"LOC111119859",1.44955724175043e-07
"LOC111119906",2.60537653295437e-08
"LOC111120091",8.32406605850651e-08
"LOC111120187",8.35110088930658e-10
"LOC111120247",0.00484119145508089
"LOC111120400",0.00429937292541626
"LOC111120445",1.11399198790567e-07
"LOC111120474",0.000339827732920386
"LOC111120493",0.0067764777386761
"LOC111120496",0.00505935744761938
"LOC111120509",0.00281087103699841
"LOC111120512",0.00984878154890307
"LOC111120615",0.0298231589183164
"LOC111120617",0.0096745256333651
"LOC111120682",0.0369497119778534
"LOC111120684",0.0272530710946226
"LOC111120746",0.0346400608350067
"LOC111121058",0.000320456374852341
"LOC111121073",0.0434066694578825
"LOC111121099",0.000260291334489201
"LOC111121119",0.0366827553346665
"LOC111121130",5.37435309785937e-06
"LOC111121195",0.000198186815837003
"LOC111121273",0.0084945080461459
"LOC111121366",0.0101722585609109
"LOC111121501",0.0173742686266686
"LOC111121733",5.6912704054367e-06
"LOC111121854",0.000227431344858971
"LOC111121996",0.0209458540427811
"LOC111122023",0.00573289636818572
"LOC111122158",0.0096745256333651
"LOC111122305",0.022250321568878
"LOC111122329",0.0403679308788899
"LOC111122334",0.0385509302286554
"LOC111122604",0.00755781939103096
"LOC111122808",0.0183785509420256
"LOC111122852",8.23313643866227e-08
"LOC111122887",0.0031316771250101
"LOC111122922",6.70722087704948e-05
"LOC111123003",0.0148993183784423
"LOC111123065",0.0128872602906547
"LOC111123227",0.0359878544859398
"LOC111123784",0.039699267379271
"LOC111123809",0.000287318712247908
"LOC111123831",0.00565972284855751
"LOC111123845",0.00116473314139177
"LOC111123891",0.00835155485195372
"LOC111123910",0.0327528619769306
"LOC111123912",2.08520396507209e-07
"LOC111123938",0.000311887361228382
"LOC111123973",0.004237774282987
"LOC111124361",0.000462714912111071
"LOC111124392",0.00541484114892752
"LOC111124414",0.00350770800516037
"LOC111124500",0.00723099273169845
"LOC111124587",0.0346400608350067
"LOC111124588",2.17074235169817e-05
"LOC111124590",0.0159926585719194
"LOC111124603",9.43384957431626e-07
"LOC111124639",0.0152292441611768
"LOC111124640",2.24349296111927e-08
"LOC111124802",0.0376361372835325
"LOC111124908",0.00758105180747367
"LOC111124999",0.0471886868507075
"LOC111125070",0.0403679308788899
"LOC111125118",0.0402885488701387
"LOC111125223",0.0319565492886459
"LOC111125240",0.0119924123570094
"LOC111125352",0.0162335184927377
"LOC111125380",0.019663826679363
"LOC111125404",0.00232698778133381
"LOC111125442",2.62465199242631e-05
"LOC111125735",0.023174808663879
"LOC111125778",0.00308259053840115
"LOC111125870",0.0248374693463445
"LOC111125905",0.0365495139894783
"LOC111125956",0.00229771594908448
"LOC111126125",0.0239461958502198
"LOC111126147",0.0022589002359138
"LOC111126215",0.00205573186609683
"LOC111126216",0.00328590817057579
"LOC111126402",0.0420196129580352
"LOC111126560",0.0180758764570492
"LOC111126568",0.000227431344858971
"LOC111126798",0.000618434279388439
"LOC111126835",0.0449780949056035
"LOC111127104",0.0309007971757166
"LOC111127289",0.0473037157270022
"LOC111127317",0.0226898133461608
"LOC111127492",0.0309007971757166
"LOC111127520",0.00530176564649132
"LOC111127608",0.000154241799092255
"LOC111127613",1.14777914193273e-08
"LOC111127729",0.031131916877279
"LOC111127799",2.00958688039485e-06
"LOC111127844",0.00553285939000029
"LOC111127862",0.000203462955822736
"LOC111127901",8.23313643866227e-08
"LOC111127981",0.00543809574679476
"LOC111128103",2.20386738633279e-05
"LOC111128209",0.0040159764015904
"LOC111128277",0.00085219034170228
"LOC111128337",0.000192953777514013
"LOC111128484",0.0496319903248919
"LOC111128582",0.00548921225204829
"LOC111128687",0.000848944726903858
"LOC111128698",0.0325944895024719
"LOC111128800",0.0371348222091957
"LOC111128891",0.0484165061991229
"LOC111128966",1.89594763086347e-07
"LOC111128973",0.0104750228869188
"LOC111128979",0.022385785823228
"LOC111128997",0.0262634938446748
"LOC111128998",0.00383870993801724
"LOC111129049",0.0136788548973699
"LOC111129125",0.0199767292136624
"LOC111129261",0.0139012396990825
"LOC111129277",0.00483737273015839
"LOC111129294",1.52152078616045e-07
"LOC111129350",0.00197882448247024
"LOC111129490",0.00252333412922348
"LOC111129499",1.25936051884854e-05
"LOC111129526",0.000149884026895931
"LOC111129825",0.00736133655418167
"LOC111129853",0.0188819504722777
"LOC111129883",0.00383870993801724
"LOC111129910",0.0036408408582075
"LOC111129914",0.0273706317095563
"LOC111129975",0.00286282755690233
"LOC111130000",0.00981926930368769
"LOC111130067",0.0376378955056731
"LOC111130193",0.0114700557457503
"LOC111130208",0.00610461554048402
"LOC111130297",0.0479339017784139
"LOC111130352",0.000937812943360984
"LOC111130353",5.37435309785937e-06
"LOC111130365",0.0380349919425184
"LOC111130553",0.00617543932615143
"LOC111130568",0.00409894355711637
"LOC111130701",1.21424839582403e-05
"LOC111130718",0.0067764777386761
"LOC111130883",0.000885181187188996
"LOC111130989",0.0348578114594169
"LOC111131074",0.00637048559022296
"LOC111131506",0.0379969004501066
"LOC111131555",0.00714682394081587
"LOC111131591",0.00275372981897826
"LOC111131693",0.00614754111352871
"LOC111131749",0.0319565492886459
"LOC111132265",0.000596677033112191
"LOC111132625",0.000156103966714885
"LOC111132911",8.80897097334206e-08
"LOC111132924",0.00612733801392608
"LOC111132939",0.015566610408795
"LOC111132955",0.0225540037222726
"LOC111132975",2.87084267311284e-07
"LOC111132976",1.80696407857066e-08
"LOC111133021",0.0237627366220695
"LOC111133218",0.000203940189938803
"LOC111133241",0.0427853052988911
"LOC111133259",0.00102380972592704
"LOC111133260",0.0309007971757166
"LOC111133278",0.0389402605084756
"LOC111133382",1.02683348657209e-06
"LOC111133491",0.0150352901153968
"LOC111133558",0.00844220029596184
"LOC111133840",0.0188104231533323
"LOC111133954",0.0111283554761125
"LOC111133985",0.00350405285602799
"LOC111134008",1.68443720845191e-06
"LOC111134335",0.0151367975449637
"LOC111134403",2.24349296111927e-08
"LOC111134405",0.000591056575252409
"LOC111134434",0.00326250508883644
"LOC111134449",0.0496844072517564
"LOC111134531",0.00108634296589166
"LOC111134585",0.00182648485695513
"LOC111134646",0.00649867152985709
"LOC111134684",0.00546361518676179
"LOC111134709",0.0298231589183164
"LOC111134716",0.00195670837366753
"LOC111134719",0.00704204128791922
"LOC111134720",0.00628251454168263
"LOC111134722",0.000163666052531057
"LOC111134768",0.00085219034170228
"LOC111134796",6.17322618475111e-06
"LOC111134843",9.27195425304129e-06
"LOC111134995",0.00284605847255053
"LOC111135100",0.00116473314139177
"LOC111135113",0.0135147453595291
"LOC111135253",0.031530687439884
"LOC111135536",0.0159926585719194
"LOC111135592",0.00546361518676179
"LOC111135603",0.000301839307545739
"LOC111135670",1.56786375292737e-06
"LOC111135830",1.67038217489848e-06
"LOC111135848",0.00241485417108054
"LOC111135946",1.1277351798342e-08
"LOC111135952",0.000976118742866153
"LOC111135968",4.03450361898956e-05
"LOC111135975",0.000596677033112191
"LOC111136134",0.00704204128791922
"LOC111136175",0.00275372981897826
"LOC111136186",0.000625937589960961
"LOC111136197",0.00484269949713467
"LOC111136220",0.0389402605084756
"LOC111136295",0.00534370036446777
"LOC111136307",0.0385509302286554
"LOC111136410",0.0196991569528401
"LOC111136466",0.0396549882444232
"LOC111136471",0.0298231589183164
"LOC111136484",0.0249421269365843
"LOC111136502",0.000686497111189612
"LOC111136595",0.00116538304492442
"LOC111136896",0.00154247011335713
"LOC111136937",1.24535740472236e-06
"LOC111136967",0.00442225605787701
"LOC111137026",0.00956189742317217
"LOC111137325",0.0244268879404578
"LOC111137396",0.00429937292541626
"LOC111137420",0.0235713337756323
"LOC111137527",0.0226898133461608
"LOC111137657",0.0171431125062319
"LOC111137678",1.0464021627035e-06
"LOC111137687",0.000328210771330537
"LOC111137731",0.0113340294551017
"LOC111137770",4.26119321080777e-05
"LOC111137876",0.0479339017784139
"LOC111137946",8.29817713724108e-06
"LOC111137983",0.0402885488701387
"LOC111138095",2.66859887063045e-06
"LOC111138141",0.0329412463114734
"LOC111138499",9.57840315172227e-07
