sample,phase1_rep,phase2_rep,tag,methylation?,16s?,tag2,combined,Oyster Code,Phase 1 DO Treatment,Phase 1 Temperature Treatment,Phase 2 DO Treatment,Phase 2 Temperature Treatment,Phase 1 Replicate,Phase 2 Replicate,Initial Submerged Mass (g),Initial Dry Mass (g),Final Submerged Mass (g),Final Dry Mass (g),Initial Shell Mass (g),Initial Tissue Mass (g),Final Shell Mass (g),Final Tissue Mass (g),Shell Growth (g),Shell Growth (mg),Tissue Growth (g),Tissue Growth (mg),Tissue:Shell Growth
2018--BBB-WBO-B21-CV,BBB,WBO,B21,yes,no,21B,BBBWBO21B,21B,Hypoxic,Ambient,Normoxic,Ambient,BBB,WBO,0.1291,0.2766,0.1536,0.3187,0.20360665,0.07299335,0.2386784,0.0800216,0.03507175,35.07175,0.00702825,7.02825,0.20039633
2018--WBB-WBV-W69-CV,WBB,WBV,W69,yes,no,69W,WBBWBV69W,69W,Normoxic,Ambient,Normoxic,Ambient,WBB,WBV,0.0894,0.1982,0.105,0.2334,0.1467761,0.0514239,0.1691075,0.0642925,0.0223314,22.3314,0.0128686,12.8686,0.57625586
2018--BBB-WBV-B70-CV,BBB,WBV,B70,yes,no,70B,BBBWBV70B,70B,Hypoxic,Ambient,Normoxic,Ambient,BBB,WBV,0.1315,0.322,0.1292,0.3176,0.20704225,0.11495775,0.2037498,0.1138502,-0.0032925,-3.29245,-0.0011076,-1.10755,0.33639083
2018--BBO-BBO-B16-CV,BBO,BBO,B16,yes,no,16B,BBOBBO16B,16B,Hypoxic,Ambient,Hypoxic,Ambient,BBO,BBO,0.0543,0.1173,0.064,0.1332,0.09653045,0.02076955,0.110416,0.022784,0.01388555,13.88555,0.00201445,2.01445,0.14507528
2018--WBG-WBG-W44-CV,WBG,WBG,W44,yes,no,44W,WBGWBG44W,44W,Normoxic,Ambient,Normoxic,Ambient,WBG,WBG,0.1939,0.414,0.2488,0.5151,0.29636785,0.11763215,0.3749572,0.1401428,0.07858935,78.58935,0.02251065,22.51065,0.28643385
2018--BBO-WBO-B16-CV,BBO,WBO,B16,yes,no,16B,BBOWBO16B,16B,Hypoxic,Ambient,Normoxic,Ambient,BBO,WBO,0.1376,0.2675,0.1631,0.3113,0.2157744,0.0517256,0.25227765,0.05902235,0.03650325,36.50325,0.00729675,7.29675,0.19989316
2018--WBO-WBV-W64-CV,WBO,WBV,W64,yes,no,64W,WBOWBV64W,64W,Normoxic,Ambient,Normoxic,Ambient,WBO,WBV,0.0975,0.2059,0.1288,0.2627,0.15837125,0.04752875,0.2031772,0.0595228,0.04480595,44.80595,0.01199405,11.99405,0.26768878
2018--BBO-WBV-B64-CV,BBO,WBV,B64,yes,no,64B,BBOWBV64B,64B,Hypoxic,Ambient,Normoxic,Ambient,BBO,WBV,0.111,0.2603,0.1444,0.3281,0.1776965,0.0826035,0.2255086,0.1025914,0.0478121,47.8121,0.0199879,19.9879,0.41805108
2018--WBR-BBY-W25-CV,WBR,BBY,W25,yes,no,25W,WBRBBY25W,25W,Normoxic,Ambient,Hypoxic,Ambient,WBR,BBY,0.0608,0.1371,0.0741,0.1607,0.1058352,0.0312648,0.12487415,0.03582585,0.01903895,19.03895,0.00456105,4.56105,0.23956416
2018--WBV-WBO-W23-CV,WBV,WBO,W23,yes,no,23W,WBVWBO23W,23W,Normoxic,Ambient,Normoxic,Ambient,WBV,WBO,0.1206,0.2557,0.1357,0.2849,0.1914389,0.0642611,0.21305455,0.07184545,0.02161565,21.61565,0.00758435,7.58435,0.35087309
2018--WBV-WBR-W12-CV,WBV,WBR,W12,yes,no,12W,WBVWBR12W,12W,Normoxic,Ambient,Normoxic,Ambient,WBV,WBR,0.0666,0.1361,0.085,0.1744,0.1141379,0.0219621,0.1404775,0.0339225,0.0263396,26.3396,0.0119604,11.9604,0.45408435
2018--BBY-WBG-B42-CV,BBY,WBG,B42,yes,no,42B,BBYWBG42B,42B,Hypoxic,Ambient,Normoxic,Ambient,BBY,WBG,0.0592,0.1316,0.0715,0.1503,0.1035448,0.0280552,0.12115225,0.02914775,0.01760745,17.60745,0.00109255,1.09255,0.06205044
2018--BPO-BPO-O16-CV,BPO,BPO,O16,yes,no,16O,BPOBPO16O,16O,Hypoxic,Warm,Hypoxic,Warm,BPO,BPO,0.0923,0.2023,0.1254,0.2697,0.15092745,0.05137255,0.1983101,0.0713899,0.04738265,47.38265,0.02001735,20.01735,0.4224616
2018--WPR-BPY-G25-CV,WPR,BPY,G25,yes,no,25G,WPRBPY25G,25G,Normoxic,Warm,Hypoxic,Warm,WPR,BPY,0.1089,0.2417,0.1447,0.3226,0.17469035,0.06700965,0.22593805,0.09666195,0.0512477,51.2477,0.0296523,29.6523,0.57860743
2018--WBG-BBB-W56-CV,WBG,BBB,W56,yes,yes,56W,WBGBBB56W,56W,Normoxic,Ambient,Hypoxic,Ambient,WBG,BBB,0.2142,0.4772,0.2685,0.5996,0.3254273,0.1517727,0.40315775,0.19644225,0.07773045,77.73045,0.04466955,44.66955,0.57467247
2018--BBO-BBY-B27-CV,BBO,BBY,B27,yes,yes,27B,BBOBBY27B,27B,Hypoxic,Ambient,Hypoxic,Ambient,BBO,BBY,0.2012,0.4666,0.2461,0.5593,0.3068178,0.1597822,0.37109215,0.18820785,0.06427435,64.27435,0.02842565,28.42565,0.44225496
2018--WBO-BBR-W03-CV,WBO,BBR,W03,yes,yes,03W,WBOBBR03W,03W,Normoxic,Ambient,Hypoxic,Ambient,WBO,BBR,0.0519,0.1135,0.0635,0.1382,0.09309485,0.02040515,0.10970025,0.02849975,0.0166054,16.6054,0.0080946,8.0946,0.48746793
2018--BBR-BBB-B50-CV,BBR,BBB,B50,yes,yes,50B,BBRBBB50B,50B,Hypoxic,Ambient,Hypoxic,Ambient,BBR,BBB,0.064,0.138,0.0733,0.1548,0.110416,0.027584,0.12372895,0.03107105,0.01331295,13.31295,0.00348705,3.48705,0.26192917
2018--BBR-BBG-B38-CV,BBR,BBG,B38,yes,yes,38B,BBRBBG38B,38B,Hypoxic,Ambient,Hypoxic,Ambient,BBR,BBG,0.1301,0.2719,0.164,0.335,0.20503815,0.06686185,0.253566,0.081434,0.04852785,48.52785,0.01457215,14.57215,0.30028427
2018--BBR-BBY-B26-CV,BBR,BBY,B26,yes,yes,26B,BBRBBY26B,26B,Hypoxic,Ambient,Hypoxic,Ambient,BBR,BBY,0.0635,0.1349,0.071,0.1503,0.10970025,0.02519975,0.1204365,0.0298635,0.01073625,10.73625,0.00466375,4.66375,0.43439283
2018--WBY-BBV-W65-CV,WBY,BBV,W65,yes,yes,65W,WBYBBV65W,65W,Normoxic,Ambient,Hypoxic,Ambient,WBY,BBV,0.0523,0.1124,0.0629,0.135,0.09366745,0.01873255,0.10884135,0.02615865,0.0151739,15.1739,0.0074261,7.4261,0.48939956
2018--WBY-BBY-W30-CV,WBY,BBY,W30,yes,yes,30W,WBYBBY30W,30W,Normoxic,Ambient,Hypoxic,Ambient,WBY,BBY,0.1808,0.3882,0.2093,0.4463,0.2776152,0.1105848,0.31841295,0.12788705,0.04079775,40.79775,0.01730225,17.30225,0.42409814
2018--WPB-BPG-G45-CV,WPB,BPG,G45,yes,yes,45G,WPBBPG45G,45G,Normoxic,Warm,Hypoxic,Warm,WPB,BPG,0.0605,0.129,0.0753,0.1601,0.10540575,0.02359425,0.12659195,0.03350805,0.0211862,21.1862,0.0099138,9.9138,0.46793668
2018--BPR-BPG-O38-CV,BPR,BPG,O38,yes,yes,38O,BPRBPG38O,38O,Hypoxic,Warm,Hypoxic,Warm,BPR,BPG,0.0437,0.0956,0.0553,0.1168,0.08135655,0.01424345,0.09796195,0.01883805,0.0166054,16.6054,0.0045946,4.5946,0.27669312
2018--WPO-BPO-G16-CV,WPO,BPO,G16,yes,yes,16G,WPOBPO16G,16G,Normoxic,Warm,Hypoxic,Warm,WPO,BPO,0.0946,0.2078,0.1247,0.2664,0.1542199,0.0535801,0.19730805,0.06909195,0.04308815,43.08815,0.01551185,15.51185,0.36000269
2018--BPR-BPR-O02-CV,BPR,BPR,O02,yes,yes,02O,BPRBPR02O,02O,Hypoxic,Warm,Hypoxic,Warm,BPR,BPR,0.0647,0.1559,0.0642,0.156,0.11141805,0.04448195,0.1107023,0.0452977,-0.0007158,-0.71575,0.00081575,0.81575,-1.1397136
2018--WPO-BPY-G28-CV,WPO,BPY,G28,yes,yes,28G,WPOBPY28G,28G,Normoxic,Warm,Hypoxic,Warm,WPO,BPY,0.1954,0.3973,0.2541,0.5178,0.2985151,0.0987849,0.38254415,0.13525585,0.08402905,84.02905,0.03647095,36.47095,0.43402788
2018--BPY-BPG-O42-CV,BPY,BPG,O42,yes,yes,42O,BPYBPG42O,42O,Hypoxic,Warm,Hypoxic,Warm,BPY,BPG,0.1519,0.3724,0.2007,0.4631,0.23624485,0.13615515,0.30610205,0.15699795,0.0698572,69.8572,0.0208428,20.8428,0.29836295
2018--BPY-BPY-O29-CV,BPY,BPY,O29,yes,yes,29O,BPYBPY29O,29O,Hypoxic,Warm,Hypoxic,Warm,BPY,BPY,0.1198,0.2741,0.1638,0.3735,0.1902937,0.0838063,0.2532797,0.1202203,0.062986,62.986,0.036414,36.414,0.57812847
2018--WPV-BPR-G11-CV,WPV,BPR,G11,yes,yes,11G,WPVBPR11G,11G,Normoxic,Warm,Hypoxic,Warm,WPV,BPR,0.0928,0.1994,0.1218,0.2618,0.1516432,0.0477568,0.1931567,0.0686433,0.0415135,41.5135,0.0208865,20.8865,0.50312549