"","symbol","baseMean","log2FC","lfcSE","stat","pvalue","padj","name","pair"
"3","LOC111099585",36.3254839190662,0.985439080512241,0.209105638980704,3.51706957352836,0.000436339395616243,0.0332446433191667,"lys-63-specific deubiquitinase BRCC36-like","CH"
"5","LOC111099978",37.239138121344,1.15309048028857,0.261213189168936,3.45729280807682,0.000545631637742263,0.0390971050901271,"oncoprotein-induced transcript 3 protein-like, transcript variant X1","CH"
"7","LOC111100625",38.3951784806512,-1.20607878097117,0.262180915623969,-3.64663758495075,0.000265694243976648,0.0235178478602271,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like, transcript variant X2","CH"
"8","LOC111100898",38.3419107000128,-1.30466355997188,0.243806362664861,-4.32582459474872,1.51962312783466e-05,0.00320123832360837,"uncharacterized LOC111100898, transcript variant X3","CH"
"9","LOC111100915",20.557562314267,1.65290723790405,0.30158826362424,4.65173021338782,3.29161533724332e-06,0.00103781953491875,"uncharacterized LOC111100915, transcript variant X2","CH"
"11","LOC111101375",40.3203276762053,-1.22804072361991,0.236701708455203,-4.13195464453104,3.59691405485795e-05,0.00577328685231733,"mu-type opioid receptor-like","CH"
"12","LOC111101401",8.70730551007251,-1.73631995988355,0.35151647612422,-4.22830809033916,2.35455228943464e-05,0.00429456067579003,"von Willebrand factor D and EGF domain-containing protein-like, transcript variant X2","CH"
"13","LOC111101764",18.8293192466402,-1.32415609811564,0.302717355988226,-3.54837962497737,0.000387609124761777,0.0302989522330018,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like","CH"
"14","LOC111101925",20.7480630960557,-1.70732111942145,0.308175125364831,-4.72887329143198,2.25769220750493e-06,0.000776517108398411,"protein DJ-1-like","CH"
"16","LOC111102125",63.38067778526,-1.16306101471712,0.234429383593881,-3.89482325431901,9.82703593097267e-05,0.0121956555192834,"uncharacterized LOC111102125","CH"
"17","LOC111103019",35.769434881616,-1.81774603244727,0.297309508133719,-5.27311098218276,1.34130394557863e-07,0.000120684758275419,"uncharacterized LOC111103019, transcript variant X4","CH"
"19","LOC111103273",21.544217597233,1.28123884730142,0.294645724423852,3.49992808929401,0.000465383684324386,0.0345820295796108,"T-complex protein 11-like protein 1, transcript variant X1","CH"
"20","LOC111103294",38.3542926270511,-1.15967821690343,0.222205051319621,-4.09386830542815,4.2423533034712e-05,0.00671966435094556,"wiskott-Aldrich syndrome protein family member 2-like, transcript variant X1","CH"
"22","LOC111103345",437.900866542345,-1.01542517164918,0.226698097051967,-3.37640757290395,0.000734390418170744,0.0470244247549969,"uncharacterized LOC111103345, transcript variant X5","CH"
"23","LOC111103625",57.8790079052229,1.25712456268223,0.17056670004827,5.90457904384161,3.5354833028679e-09,1.41867159999746e-05,"transmembrane protein 39A-like, transcript variant X3","CH"
"24","LOC111103813",4.85975841177019,1.46223529886361,0.359002421128855,3.37667722421435,0.00073367090534317,0.0470244247549969,"coiled-coil domain-containing protein 58-like, transcript variant X1","CH"
"25","LOC111103979",5.12722589451171,-1.70739724161356,0.360948188149558,-4.03769097466612,5.39798964219256e-05,0.00782903606177278,"uncharacterized LOC111103979, transcript variant X1","CH"
"26","LOC111104327",95.7716516807714,-1.09009267979046,0.220611026689673,-3.80802669928278,0.000140080151682587,0.0154705033573851,"MAM and LDL-receptor class A domain-containing protein 2-like","CH"
"27","LOC111104711",15.729931934792,-1.3482557302337,0.311445745479559,-3.52631476324271,0.000421385825801197,0.0323098252929606,"uncharacterized LOC111104711, transcript variant X5","CH"
"28","LOC111104792",36.9660800942448,-1.26442859178776,0.242614858331652,-4.18123027898419,2.89936040883704e-05,0.00513272067670298,"alpha-mannosidase 2C1-like, transcript variant X2","CH"
"29","LOC111105071",56.9704201449485,1.22788051731685,0.26437395774417,3.69885341832015,0.000216575626435598,0.0216498543816712,"uncharacterized LOC111105071","CH"
"30","LOC111105293",15.9273447042432,1.28404038101551,0.282917634341993,3.65491668068154,0.000257265514472849,0.0232854305505576,"26S proteasome non-ATPase regulatory subunit 13-like","CH"
"33","LOC111106504",5.69950680318778,1.42991121550797,0.35013760540653,3.3698500169327,0.000752091071593326,0.0476509069465287,"RNA polymerase II-associated protein 3-like, transcript variant X2","CH"
"34","LOC111106900",10.3890923786502,1.3663513011485,0.313922211763839,3.55613989489958,0.00037634373135547,0.0298054331451128,"uncharacterized LOC111106900, transcript variant X1","CH"
"35","LOC111107078",91.9956511174667,-1.13898196121832,0.20056914473598,-4.43229671437518,9.32345923032445e-06,0.00229206116999207,"uncharacterized LOC111107078","CH"
"36","LOC111107250",399.963835888943,-0.758132816053982,0.14367516233105,-3.53667821083206,0.000405193028987468,0.0314691205351687,"dynein heavy chain 3, axonemal-like, transcript variant X1","CH"
"37","LOC111107262",21.589042114621,-1.44403557473242,0.341001632511656,-3.50155383696472,0.000462553507093658,0.0345820295796108,"uncharacterized LOC111107262","CH"
"38","LOC111107449",4.21635645541449,-1.48755621943418,0.359658866686406,-3.44091675213232,0.000579746872423325,0.040340999134289,"uncharacterized LOC111107449","CH"
"39","LOC111107780",55.4931224532354,-1.0792824610312,0.243094201963564,-3.41136256781433,0.000646390773785134,0.0429903432863284,"uncharacterized LOC111107780","CH"
"41","LOC111108643",20.2415891574668,-1.35194580235712,0.306723722367073,-3.59263311573392,0.000327353333105979,0.0269909549584231,"uncharacterized LOC111108643","CH"
"43","LOC111111088",8.82083207192695,1.47950575876026,0.342653062556858,3.58819427903477,0.000332976138764072,0.0272678010778361,"proteasome activator complex subunit 3-like","CH"
"45","LOC111111498",6.61945163768654,-1.68597327810046,0.354810300148562,-4.0471578122146,5.18432903304608e-05,0.00770480899997639,"uncharacterized LOC111111498, transcript variant X2","CH"
"46","LOC111111633",14.2786019042977,1.42798682318794,0.296668628406601,3.97071584385203,7.16570036793173e-05,0.00941655880866539,"NAD-dependent protein deacetylase sirtuin-2-like","CH"
"48","LOC111111877",2.78126070314423,-1.5080616917343,0.344916572027265,-3.64743765235743,0.000264868554686299,0.0235178478602271,"uncharacterized LOC111111877","CH"
"49","LOC111112319",33.4475133076368,-1.36107050831742,0.253347137826377,-4.38556566239501,1.15684753267984e-05,0.00267810203815383,"ADP-ribosylation factor 2, transcript variant X1","CH"
"51","LOC111112794",68.9642720793161,-1.31138339382952,0.18536231416822,-5.72599343395277,1.02830198144808e-08,3.09467481316798e-05,"polypeptide N-acetylgalactosaminyltransferase 5-like, transcript variant X2","CH"
"53","LOC111112938",6.20836717954407,-1.72091682777491,0.360628170540592,-4.07876296954273,4.52759693300173e-05,0.00698759126659934,"wolframin-like","CH"
"54","LOC111113022",22.9465785476316,-1.78599798683936,0.3172528760347,-4.84155732814022,1.28825497541228e-06,0.000574370866444926,"uncharacterized protein KIAA0930 homolog","CH"
"55","LOC111113121",35.9532173747036,-1.80912301873227,0.290322543291355,-5.37031331103904,7.8599964591951e-08,9.48202184508781e-05,"PMS1 protein homolog 1-like","CH"
"56","LOC111114568",11.7428857612805,-1.87126317719049,0.353527684584018,-4.58595818061085,4.51909057656438e-06,0.00132684908196785,"uncharacterized LOC111114568, transcript variant X2","CH"
"57","LOC111114695",5.84693980009572,1.60110214668749,0.352315075515044,3.83492572582178,0.000125602243984451,0.0145040220891334,"uncharacterized LOC111114695, transcript variant X2","CH"
"59","LOC111115628",34.8310093107932,0.997682729859411,0.222991379416811,3.35296697035923,0.00079950246966515,0.049104136376679,"uncharacterized LOC111115628, transcript variant X1","CH"
"60","LOC111116966",44.7347984345815,-1.06654888403119,0.218803408118201,-3.73188375379452,0.000190053206649378,0.0193886483190272,"MKI67 FHA domain-interacting nucleolar phosphoprotein-like","CH"
"61","LOC111117059",85.7517996503081,-0.818232570070704,0.165864540891165,-3.42588335648884,0.000612803485844572,0.0419143656965736,"uncharacterized LOC111117059","CH"
"62","LOC111117491",7.11617969539444,-1.55639281147694,0.356983079926257,-3.65953706194369,0.000252671299185294,0.0232854305505576,"uncharacterized LOC111117491, transcript variant X2","CH"
"63","LOC111117551",42.2993232204436,-1.24798936519831,0.224867535869169,-4.43812114247989,9.07475427078748e-06,0.00229206116999207,"ATP-dependent zinc metalloprotease YME1 homolog","CH"
"66","LOC111118281",23.3700517714979,1.28123366252909,0.279350089653281,3.69154584417357,0.000222895209845997,0.021814736066066,"leucine-rich repeat-containing protein 40-like","CH"
"67","LOC111118623",14.8862203656737,1.37721086197671,0.292884872445393,3.84864828478595,0.00011877139271552,0.0140173531912689,"uncharacterized LOC111118623, transcript variant X2","CH"
"69","LOC111118703",9.14880026403631,1.46246101827851,0.347726615948093,3.48682258610742,0.000488795496998419,0.035878781663823,"ERI1 exoribonuclease 2-like","CH"
"70","LOC111118811",15.4548598714859,1.27600869919867,0.282164011709375,3.63621389199498,0.000276674624687076,0.0237683108277708,"KAT8 regulatory NSL complex subunit 2-like, transcript variant X1","CH"
"71","LOC111118943",20.4167653143887,-1.24050836395458,0.272615817841663,-3.63334883425538,0.000279766379491339,0.0237683108277708,"uncharacterized LOC111118943","CH"
"73","LOC111119108",56.3989873356522,-1.01567510866912,0.192880251439608,-3.96969157264322,7.19657260672218e-05,0.00941655880866539,"3-phosphoinositide-dependent protein kinase 1-like, transcript variant X1","CH"
"74","LOC111119134",34.2692740448796,-1.43040272966879,0.272964490734908,-4.32438199741938,1.52960051826885e-05,0.00320123832360837,"uncharacterized LOC111119134","CH"
"75","LOC111119190",69.1529798346685,0.915952659523816,0.180239108033803,3.6948288680996,0.000220034933898577,0.0217113158546809,"ornithine decarboxylase-like, transcript variant X1","CH"
"76","LOC111119195",15.7658239209479,-1.66183724929977,0.334364435439526,-4.22245041534962,2.41660573618048e-05,0.00434195520181203,"heterogeneous nuclear ribonucleoprotein D-like, transcript variant X2","CH"
"79","LOC111119646",31.8009553558486,-1.61458368722223,0.315689716215266,-4.32254716302426,1.54238098329694e-05,0.00320123832360837,"PCNA-interacting partner-like","CH"
"80","LOC111119689",84.5811880537759,-1.10350510285786,0.228112856729099,-3.74159139952141,0.000182858649686248,0.0193092317975706,"rapamycin-insensitive companion of mTOR-like","CH"
"82","LOC111119758",15.7838970976291,-1.59958452179404,0.323467076405668,-4.17224694639864,3.01610488879288e-05,0.00518683866446982,"beta-1,3-galactosyltransferase 1-like, transcript variant X1","CH"
"83","LOC111119809",7.35001385551553,1.43822705893044,0.346329888916222,3.43091109649468,0.000601557715801784,0.0413802959018393,"ATP-dependent Clp protease proteolytic subunit-like","CH"
"84","LOC111119821",46.454021272799,-1.20223952967966,0.237604396737384,-4.00766796723942,6.13212480445435e-05,0.00848488717195649,"uncharacterized LOC111119821","CH"
"85","LOC111119994",9.41323522980568,-1.45420448208683,0.311883138014218,-3.86107594579844,0.000112888804322869,0.013589554264387,"transcription factor E2F3-like, transcript variant X2","CH"
"86","LOC111120124",29.7817905581579,-1.50858815168592,0.293561338356766,-4.28730894446447,1.8085068740538e-05,0.0036284676249766,"uncharacterized LOC111120124","CH"
"87","LOC111120343",4.49068756037137,-1.47521170585064,0.360739746198462,-3.39638678233307,0.000682817984550245,0.0449167371476276,"uncharacterized LOC111120343","CH"
"88","LOC111120566",42.5636593777996,1.01737803819293,0.207531866426653,3.6976395548591,0.000217613588651123,0.0216498543816712,"piwi-like protein 1","CH"
"89","LOC111120666",11.1832164018366,1.30333232960546,0.305708222056082,3.44554792318351,0.000569902903997244,0.0398865765018536,"glutathione peroxidase-like, transcript variant X1","CH"
"90","LOC111120860",40.1165186276076,-1.25892334066977,0.228869921976866,-4.40828280079438,1.04193438938539e-05,0.00248013866823283,"DNA excision repair protein ERCC-8-like","CH"
"92","LOC111121267",8.71053338385173,-1.52093120103947,0.355902020789345,-3.57101428708022,0.000355601495115435,0.0283492105841033,"N-alpha-acetyltransferase 25, NatB auxiliary subunit-like","CH"
"93","LOC111121529",36.7040760220657,-1.20321662005369,0.266250819771844,-3.58014529634322,0.000343403206378567,0.0279316743134134,"coiled-coil domain-containing protein 178-like","CH"
"96","LOC111122414",5.9213919273063,-1.41341077705652,0.340579777326908,-3.41597139497748,0.000635549227434249,0.0425041199991861,"thimet oligopeptidase-like","CH"
"97","LOC111122629",6.85027343377172,-1.48456280720124,0.360661577266664,-3.42305054105731,0.000619225627419471,0.0420747290571418,"rab GTPase-activating protein 1-like, transcript variant X1","CH"
"99","LOC111122838",65.8445630815312,-0.790486358077572,0.1596093904151,-3.38630676222692,0.000708401473391701,0.0460958753334556,"condensin-2 complex subunit D3-like","CH"
"102","LOC111123210",129.933045660162,1.04585450202119,0.221192976611145,3.59800982026794,0.000320661514281997,0.0266215400615633,"arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like","CH"
"103","LOC111123248",62.1117083442583,-0.826939652948764,0.15978023874312,-3.61083233751024,0.000305215929236484,0.0256936318611804,"CAP-Gly domain-containing linker protein 1-like, transcript variant X2","CH"
"106","LOC111124014",74.5979151349104,-1.14125645817085,0.186810690255614,-4.7709071517874,1.83398070055421e-06,0.000669697480595074,"vacuolar protein sorting-associated protein 8 homolog","CH"
"108","LOC111124527",13.0985775486013,1.22507963084398,0.290714090597611,3.35408451939686,0.000796280364490633,0.049104136376679,"crystallin J1A-like","CH"
"109","LOC111124549",50.1352762434436,0.988342814651412,0.183505062306598,4.02355556501105,5.73260511727888e-05,0.00811871769432978,"protein cramped-like","CH"
"110","LOC111124649",35.270938102379,1.14398415875087,0.215797580104359,4.14269779261907,3.43244117972607e-05,0.00558374688128951,"rho GTPase-activating protein 26-like","CH"
"113","LOC111124759",34.0624260583719,-1.4206794773525,0.223882142534033,-5.22899890139537,1.70430378026427e-07,0.000120684758275419,"protein unc-50 homolog","CH"
"114","LOC111125224",22.5495387524995,-1.37635925575241,0.301731585379437,-3.73298424934857,0.000189224431695054,0.0193886483190272,"outer dense fiber protein 2-like, transcript variant X5","CH"
"116","LOC111125487",35.1288605418596,1.38860207949603,0.338059820348463,3.36804911723134,0.000757021082036307,0.0477121454740998,"uncharacterized LOC111125487","CH"
"117","LOC111125498",45.2665739189985,-1.15070471597837,0.234977307248752,-3.83315617377836,0.000126509579611149,0.0145040220891334,"cytoplasmic FMR1-interacting protein 1-like","CH"
"119","LOC111126066",56.7839946363481,0.882022491440884,0.182921837038563,3.45515058055995,0.000549985563897859,0.0391758947822629,"lipase maturation factor 2-like","CH"
"120","LOC111126599",60.0379819093691,-1.22154985314668,0.185722421561497,-5.23119311593176,1.68419449633472e-07,0.000120684758275419,"myosin-10-like, transcript variant X3","CH"
"122","LOC111127769",8.4216327947085,-1.55577245493378,0.356424174453523,-3.66353504763197,0.000248758160810995,0.0232414254623488,"30S ribosomal protein S11-like, transcript variant X4","CH"
"123","LOC111127947",40.4367991615526,-1.28372714680375,0.238138163022848,-4.34087142389088,1.4191875394213e-05,0.0031637369628803,"3-ketoacyl-CoA thiolase, mitochondrial-like","CH"
"125","LOC111128461",33.6465705935185,1.15998097920524,0.243636336973916,3.73499696518038,0.000187717450933399,0.0193886483190272,"zinc finger protein 830-like","CH"
"126","LOC111128787",20.4069186707793,-1.61268242121677,0.327957177781744,-4.15506204326357,3.25199286471436e-05,0.00543818497660331,"uncharacterized LOC111128787","CH"
"127","LOC111128942",12.2396828545817,1.7654633833575,0.332889426406065,4.55245274600253,5.30240731800132e-06,0.00148442742544418,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like","CH"
"128","LOC111128997",38.4982072226387,-0.972500462216994,0.193341894306412,-3.7369058827569,0.000186298616461558,0.0193886483190272,"furin-like protease kpc-1","CH"
"130","LOC111129197",75.392178117532,0.888364752388932,0.158578777084553,4.02553711237514,5.6845413786091e-05,0.00811871769432978,"enhancer of mRNA-decapping protein 3-like","CH"
"131","LOC111129520",26.7856175792518,1.6219477701639,0.309544361914284,4.4321523470158,9.32970570938788e-06,0.00229206116999207,"uncharacterized LOC111129520","CH"
"132","LOC111129855",36.9064568750279,1.06080515563074,0.238563027377029,3.39870416864442,0.000677059072266871,0.0447826214942231,"cilia- and flagella-associated protein 61-like","CH"
"133","LOC111129907",33.3285527020732,1.46847583138547,0.260892241326339,4.67041804382881,3.00587391412549e-06,0.000988809628863995,"transcription factor SPT20 homolog, transcript variant X3","CH"
"134","LOC111129934",17.8645413191286,-1.40930822264,0.291547954667672,-3.97638948954888,6.99694916774933e-05,0.00941655880866539,"malate dehydrogenase, cytoplasmic-like","CH"
"135","LOC111130055",3.65288307681576,-1.58140067154982,0.361443057858243,-3.6835696317952,0.000229990420107931,0.0221489974180742,"acyl-CoA:lysophosphatidylglycerol acyltransferase 1-like, transcript variant X3","CH"
"136","LOC111130094",4.3660379673085,-1.3941391715494,0.340847252278886,-3.35675046197307,0.000788642550936899,0.04902460034441,"60S ribosomal protein L4-like","CH"
"138","LOC111130189",45.4703080153611,1.18139809670682,0.214013584331131,4.35205129439693,1.34869696533383e-05,0.00306332340918653,"acid phosphatase type 7-like","CH"
"139","LOC111130476",7.39601449481981,1.43406063975169,0.342937766288616,3.45269829148881,0.000555009388734321,0.0393011942446103,"leucine-rich repeat-containing protein 28-like, transcript variant X3","CH"
"140","LOC111130501",5.44318972479144,-1.50070462214067,0.360875770673356,-3.46574839260332,0.000528757851248965,0.0383445000803316,"gamma-interferon-inducible lysosomal thiol reductase-like","CH"
"142","LOC111131170",16.8473342231649,1.73101699687906,0.275798218692723,5.3699295227469,7.87674185503224e-08,9.48202184508781e-05,"retinol dehydrogenase 12-like","CH"
"143","LOC111131315",22.0003368976467,-1.40117012126704,0.326451242388054,-3.52631563858054,0.000421384432927373,0.0323098252929606,"signal recognition particle 54 kDa protein-like","CH"
"145","LOC111131392",43.3438607761463,1.1400684548108,0.205742553034736,4.32612719965876,1.51753811878266e-05,0.00320123832360837,"CD82 antigen-like","CH"
"146","LOC111131529",12.6183966790104,1.86062627278383,0.307790751328636,5.2328611754293,1.66906094377355e-07,0.000120684758275419,"uncharacterized LOC111131529, transcript variant X3","CH"
"147","LOC111132043",31.5922161436909,1.38914574226835,0.28064085472001,4.05908734636963,4.92648846035313e-05,0.00741313351071637,"cryptochrome-1-like","CH"
"148","LOC111132075",30.5703614259513,1.3039192474647,0.288792641363867,3.64939786030352,0.000262855727291884,0.0235178478602271,"acetyl-coenzyme A transporter 1-like","CH"
"150","LOC111132155",15.6889062291929,-1.61031789203982,0.306335144600039,-4.44061974611466,8.97001740856411e-06,0.00229206116999207,"transmembrane protein 117-like, transcript variant X2","CH"
"153","LOC111133086",4.57979125577094,1.50281387713969,0.358905994691803,3.49064628529123,0.000481853738855454,0.0355862288855334,"uncharacterized LOC111133086, transcript variant X1","CH"
"154","LOC111133107",14.366971234959,-1.34625516086587,0.3203761934199,-3.42177472415708,0.000622138376156441,0.0420747290571418,"tribbles homolog 2-like","CH"
"155","LOC111133163",23.472819992411,-1.16313721026244,0.250751548802922,-3.64160147612935,0.000270947284473251,0.0236352421049927,"U3 small nucleolar RNA-associated protein 4 homolog","CH"
"156","LOC111133241",33.0655030092018,-1.71798629117296,0.266352045446685,-5.51145116498383,3.55887177212935e-08,5.35521229911164e-05,"vacuolar protein sorting-associated protein 51 homolog","CH"
"159","LOC111133751",12.9638779197302,1.35074154818912,0.305837154894434,3.59910995303713,0.000319308170004386,0.0266215400615633,"translationally-controlled tumor protein homolog","CH"
"162","LOC111133985",47.4928225234763,-0.870001309045547,0.181390004750847,-3.41805663381048,0.00063069981829691,0.0424154436461352,"zinc finger CCCH domain-containing protein 18-like","CH"
"163","LOC111134206",44.6018793742858,-1.39667167839072,0.23140765024819,-4.95520211696064,7.22551406233768e-07,0.000395366992192823,"little elongation complex subunit 2-like, transcript variant X2","CH"
"164","LOC111134216",225.124919201209,-0.779844056888539,0.138825868030134,-3.81660899662827,0.000135298321256676,0.0152007341619272,"eukaryotic translation initiation factor 3 subunit A-like, transcript variant X2","CH"
"165","LOC111134393",11.7391920417944,-1.67710870029497,0.350987966824511,-4.0659761450127,4.78318286453853e-05,0.00728860193966011,"zinc finger protein 850-like","CH"
"167","LOC111134580",7.93820037287033,1.46123647507859,0.321552319797839,3.76684104110986,0.000165326190481327,0.0177696132233412,"zinc transporter ZIP13-like","CH"
"168","LOC111134719",71.2917664508671,1.03925748525798,0.23264993015266,3.39246818058396,0.000692659764545838,0.045316512204363,"ubiquitin carboxyl-terminal hydrolase 32-like","CH"
"169","LOC111134768",33.9148714860123,1.48228106621393,0.290207952346643,4.24620020316334,2.17426369208876e-05,0.00402673635774838,"alpha-centractin","CH"
"173","LOC111135181",46.65209574296,-1.15875901009177,0.263571409166472,-3.44786641679255,0.000565033415629299,0.0397770307447106,"DNA-binding protein Ikaros-like, transcript variant X2","CH"
"174","LOC111135253",178.535930424617,-0.883894477121609,0.136399129630106,-4.64734986829193,3.3622663118318e-06,0.00103781953491875,"calmodulin-binding transcription activator 1-like, transcript variant X5","CH"
"175","LOC111135297",27.8120423707883,-1.36894039186726,0.261430076362093,-4.28007522102193,1.86830156713479e-05,0.00368698594510961,"signal recognition particle subunit SRP72-like","CH"
"177","LOC111135414",80.4313000954137,1.03431824586873,0.213834905696112,3.66786817762745,0.000244581217792722,0.0232414254623488,"dnaJ homolog subfamily C member 16-like, transcript variant X2","CH"
"178","LOC111135548",19.1726919518395,1.2021076070798,0.253378985728903,3.75764234883506,0.000171521796586739,0.0182723839585059,"E3 ubiquitin-protein ligase RNF31-like","CH"
"179","LOC111135891",15.2606549663154,1.69462435865728,0.357462839579642,4.04132737365396,5.31494990365322e-05,0.00780260572441189,"peroxisome biogenesis factor 2-like","CH"
"180","LOC111136099",21.5137772470371,-1.45543033981136,0.329530742719737,-3.65802088710298,0.000254170337728511,0.0232854305505576,"ATM interactor-like","CH"
"182","LOC111136201",40.3928960718992,-1.29961873780727,0.272427736471586,-3.8528336042492,0.000116758738925979,0.013916254447435,"TRAF-type zinc finger domain-containing protein 1-like","CH"
"183","LOC111136327",8.39508620671251,1.3660409756179,0.33174476724506,3.36415547677194,0.000767782772899822,0.0481383803133753,"endoplasmic reticulum resident protein 29-like","CH"
"184","LOC111136738",30.2884495609658,-1.28479096766164,0.30831732889808,-3.35625302463525,0.000790062507627142,0.04902460034441,"uncharacterized LOC111136738","CH"
"185","LOC111137010",44.0009509713373,-1.34267455123539,0.282792069689891,-3.86387974893928,0.00011160017684034,0.013589554264387,"ras-related protein Rab-2","CH"
"186","LOC111137079",22.7102143587672,-1.20698167471654,0.244633079160705,-3.9119062638617,9.15704554397534e-05,0.0114825535685807,"polypyrimidine tract-binding protein homolog 3-like","CH"
"187","LOC111137482",28.6825315545626,-1.89747403650743,0.333181768787069,-4.94467041970806,7.6272792771779e-07,0.000399205164950729,"adenosine deaminase domain-containing protein 1-like","CH"
"188","LOC111137579",35.2508719866233,1.36079191973239,0.260427954136227,4.26525609901057,1.99673033988766e-05,0.00381533965580439,"heat shock 70 kDa protein 13-like","CH"
"190","LOC111137641",5.05071875412823,1.55646941582368,0.356644306104695,3.66322802147907,0.000249056644346486,0.0232414254623488,"suppressor of cytokine signaling 4-like","CH"
"191","LOC111137719",7.09703967547717,-1.50426341342938,0.34420299414884,-3.64396427326547,0.00026847070246073,0.0235901482935932,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase-like","CH"
"192","LOC111137804",81.6375214426537,0.808360914315141,0.165050122821149,3.38297787830301,0.000717044078251957,0.0464074011505218,"uncharacterized LOC111137804, transcript variant X3","CH"
"193","LOC111138462",4.2774271274122,1.50777416437425,0.358473370135817,3.50869623564424,0.000450308897284246,0.0338801156594235,"thiamin pyrophosphokinase 1-like, transcript variant X1","CH"
